author,title,description,url,urlToImage,date,content,source.id,source.name,result
Ashutosh R Shyam,"After a lacklustre 2023, will 2024 be a year of mega-caps?","Mega stocks such as HDFC Bank, Reliance Industries, ICICI Bank, Infosys, TCS, Axis Bank and Kotak Mahindra Bank, which collectively account for 48% of the total Nifty 50 weightage, have given return of 9.58% in 2023 compared with the Nifty 50's return of 20%.",https://economictimes.indiatimes.com/markets/stocks/news/after-a-lacklustre-2023-will-2024-be-a-year-of-mega-caps/articleshow/106428572.cms,"https://img.etimg.com/thumb/msid-106428582,width-1070,height-580/photo.jpg",2023-12-31,"SynopsisMega stocks such as HDFC Bank, Reliance Industries, ICICI Bank, Infosys, TCS, Axis Bank and Kotak Mahindra Bank, which collectively account for 48% of the total Nifty 50 weightage, have given… [+67 chars]",the-times-of-india,The Times of India,
Michail,"iQOO 12 launched in India, starting at INR 52,999","The iQOO 12 is now official in India serving as the first phone to launch with Qualcomm’s Snapdragon 8 Gen 3 chip in the country. The device will be available in Alpha Black and Legend White colors with the latter sporting the BMW Motorsport branding.




iQO…",https://www.gsmarena.com/iqoo_12_launched_in_india_starting_at_inr_52999-news-60886.php,https://fdn.gsmarena.com/imgroot/news/23/12/iqoo-12-india-launch/-952x498w6/gsmarena_000.jpg,2023-12-12,The iQOO 12 is now official in India serving as the first phone to launch with Qualcomms Snapdragon 8 Gen 3 chip in the country. The device will be available in Alpha Black and Legend White colors wi… [+841 chars],,GSMArena.com,1.0
ETMarkets.com,"F&O stocks to buy or sell today: ICICI Bank, Maruti among top 6 trading ideas","The S&P BSE Sensex rose nearly 400 points while the Nifty50 closed above 21,300 levels on Thursday. The Nifty future closed positive with gains of 0.75% at 21376 levels.",https://economictimes.indiatimes.com/markets/options/fo-stocks-to-buy-or-sell-today-icici-bank-maruti-among-top-6-trading-ideas-for-22-december/articleshow/106199133.cms,"https://img.etimg.com/thumb/msid-106199210,width-1200,height-630,imgsize-267022,overlay-etmarkets/photo.jpg",2023-12-22,"The Indian market is likely to trade higher on Friday tracking positive global cues.The S&amp;P BSE Sensex rose nearly 400 points while the Nifty50 closed above 21,300 levels on Thursday. The Nifty f… [+2009 chars]",the-times-of-india,The Times of India,1.0
Tech Desk,iPhone 15 at Rs 35K? Check out these lucrative deals on Amazon and Flipkart,"iPhone 15 is among the most sought after smartphones of the year. If you are planning to own one, here is a look at some exciting offers that could save you money.",https://indianexpress.com/article/technology/iphone-15-year-end-deals-flipkart-amazon-9087773/,https://images.indianexpress.com/2023/12/iPhone-15-4.jpg,2023-12-29,"The year is almost ending. Other than thumping music, delicious food and festivities, this time of the year is also hailed as a time of massive discounts. For tech aficionados, their favourite brands… [+2164 chars]",,The Indian Express,0.0
PTI,Stock markets climb for 2nd day on buying in IT shares,"Among the Sensex firms, Wipro jumped over 6 per cent, the most among the frontline companies. HCL Technologies, Tata Motors, Maruti, Tata Steel, Infosys, Tech Mahindra, Larsen & Toubro and JSW Steel were the other major winners.",https://indianexpress.com/article/business/market/stock-markets-climb-2nd-day-buying-it-shares-9079039/,https://images.indianexpress.com/2023/12/BSE-1600-2.jpg,2023-12-22,"Stock markets extended gains for a second day on Friday following buying in IT stocks and firm trends in the US markets.The 30-share BSE Sensex climbed 241.86 points or 0.34 per cent to settle at 71,… [+1439 chars]",,The Indian Express,1.0
"Brad Freer, Anirudha Dutta",This fast-growing country is taming inflation and in strong financial shape — and its stock market is attractive,The fundamental outlook for India is better than ever.,https://www.marketwatch.com/story/this-fast-growing-country-is-taming-inflation-and-in-strong-financial-shape-and-its-stock-market-is-attractive-5ec5526a,https://images.mktw.net/im-08051782/social,2023-12-28,"From our recent travels around India, it appears that the worlds most populous country could be poised for long-term growth. An infrastructure boom is evident, government policies are making India an… [+6474 chars]",,MarketWatch,1.0
Moneycontrol News,"HDFC Bank shares trade in red on Q3 update, gross advances rise 62.4%","HDFC Bankâs gross advances for Q3FY24 rose to Rs 24.69 lakh crore, marking an increase of 62.4 percent on-year.",https://www.moneycontrol.com/news/business/markets/hdfc-bank-shares-trade-in-red-on-q3-update-gross-advances-rise-62-4-12003111.html,https://images.moneycontrol.com/static-mcnews/2023/10/HDFC-BANK-770x431.jpg,2024-01-05,Shares of HDFC Bank fell 0.7 percent after the bank reported its update for the October-December quarter of the current fiscal year. The lender's gross advances for the quarter ended December surged … [+2313 chars],,Moneycontrol,1.0
Rakesh Patil,"Taking Stock: Market plunges after hitting new highs; mid, smallcaps tumble","The biggest Nifty losers included Adani Ports, Adani Enterprises, UPL, Tata Steel and Coal India, while the gainers were ONGC, Tata Consumer Products, Britannia Industries and HDFC Bank.",https://www.moneycontrol.com/news/business/markets/taking-stock-market-plunges-after-hitting-new-highs-mid-smallcaps-tumble-11933251.html,https://images.moneycontrol.com/static-mcnews/2023/12/market_down_Sensex-Nifty-770x433.jpg,2023-12-20,"The market went from new highs to a steep fall within hours, as the benchmarks wiped out the morning gains to close near the days low on December 20 on wide-spread selling.
At close, the Sensex was … [+4276 chars]",,Moneycontrol,1.0
Moneycontrol News,The great awakening: HDFC Bank shows cup and handle pattern breakout after 2 years of consolidation,Analyst suggests buying and accumulating the stock for an upside target of 2100â2300 levels for the medium to short-term time frame.,https://www.moneycontrol.com/news/business/markets/the-great-awakening-hdfc-bank-shows-cup-and-handle-pattern-breakout-after-2-years-of-consolidation-11875301.html,https://images.moneycontrol.com/static-mcnews/2023/10/HDFC-BANK-770x431.jpg,2023-12-08,Banking major HDFC Bank's shares surged after the RBI's monetary policy rate decision on December 8. HDFC Bank has now formed a clear cup and handle pattern on the weekly chart and has broken out abo… [+1647 chars],,Moneycontrol,0.0
Moneycontrol News,"Ravi Dharamshi bullish on renewables, banks, but stays cautious on pharma","Speaking of the sleeping banking sector, the market expert believes that their time to rally is finally here. Large banks like HDFC Bank and Kotak Mahindra Bank have barely given any returns moved in the past one year",https://www.moneycontrol.com/news/business/markets/ravi-dharamshi-bullish-on-renewables-banks-but-stays-cautious-on-pharma-11889741.html,https://images.moneycontrol.com/static-mcnews/2023/11/market_volatile-10-770x433.jpg,2023-12-12,"Renewables and financials are set for inevitable growth, but one must watch out before picking up pharma stocks, Ravi Dharamshi of ValueQuest Investment Advisors said in an interaction with CNBC TV18… [+3905 chars]",,Moneycontrol,1.0
